Position	raw_path	file_name	new_name	group	type	sample_id	Corrected.Name
1	E:\Sergio-GPS\individual-runs\20220228_CIMS11-1.mzML.dia	20220228_CIMS11-1	CIMS11.1_A3	CIMS11	S	CIMS11-1	no
2	E:\Sergio-GPS\individual-runs\20220228_CIMS12-1.mzML.dia	20220228_CIMS12-1	CIMS12.1_G6	CIMS12	S	CIMS12-1	no
3	E:\Sergio-GPS\individual-runs\20220228_CIMS16-1.mzML.dia	20220228_CIMS16-1	CIMS16.1_G5	CIMS16	S	CIMS16-1	no
4	E:\Sergio-GPS\individual-runs\20220228_CIMS17-3.mzML.dia	20220228_CIMS17-3	CIMS17.3_F1	CIMS17	S	CIMS17-3	no
5	E:\Sergio-GPS\individual-runs\20220228_CIMS21-3.mzML.dia	20220228_CIMS21-3	CIMS21.3_F11	CIMS21	S	CIMS21-3	no
6	E:\Sergio-GPS\individual-runs\20220228_CIMS26-3.mzML.dia	20220228_CIMS26-3	CIMS26.3_E3	CIMS26	S	CIMS26-3	no
7	E:\Sergio-GPS\individual-runs\20220228_CIMS28-1.mzML.dia	20220228_CIMS28-1	CIMS28.1_D3	CIMS28	S	CIMS28-1	no
8	E:\Sergio-GPS\individual-runs\20220228_CIMS31-1.mzML.dia	20220228_CIMS31-1	CIMS31.1_A11	CIMS31	S	CIMS31-1	no
9	E:\Sergio-GPS\individual-runs\20220228_CIMS6-1.mzML.dia	20220228_CIMS6-1	CIMS6.1_B7	CIMS6	S	CIMS6-1	no
10	E:\Sergio-GPS\individual-runs\20220228_CIMS8-1.mzML.dia	20220228_CIMS8-1	CIMS8.1_G7	CIMS8	S	CIMS8-1	no
11	E:\Sergio-GPS\individual-runs\20220228_CIMS9-1.mzML.dia	20220228_CIMS9-1	CIMS9.1_E8	CIMS9	S	CIMS9-1	no
12	E:\Sergio-GPS\individual-runs\20220301_CIM31-3_D1.mzML.dia	20220301_CIM31-3_D1	CIMS31.3_D1	CIMS31	S	CIMS31-3	no
13	E:\Sergio-GPS\individual-runs\20220301_CIMS1-1_E11.mzML.dia	20220301_CIMS1-1_E11	CIMS1.1_E11	CIMS1	S	CIMS1-1	no
14	E:\Sergio-GPS\individual-runs\20220301_CIMS11-3.mzML.dia	20220301_CIMS11-3	CIMS11.3_F12	CIMS11	S	CIMS11-3	no
15	E:\Sergio-GPS\individual-runs\20220301_CIMS12-1.mzML.dia	20220301_CIMS12-1	CIMS12.1_D7	CIMS12	S	CIMS12-1	no
16	E:\Sergio-GPS\individual-runs\20220301_CIMS13-1_B5.mzML.dia	20220301_CIMS13-1_B5	CIMS13.1_B5	CIMS13	S	CIMS13-1	no
17	E:\Sergio-GPS\individual-runs\20220301_CIMS14-1_E9.mzML.dia	20220301_CIMS14-1_E9	CIMS14.1_E9	CIMS14	S	CIMS14-1	no
18	E:\Sergio-GPS\individual-runs\20220301_CIMS18-1.mzML.dia	20220301_CIMS18-1	CIMS18.1_F8	CIMS18	S	CIMS18-1	no
19	E:\Sergio-GPS\individual-runs\20220301_CIMS18-2_C6.mzML.dia	20220301_CIMS18-2_C6	CIMS18.2_C6	CIMS18	S	CIMS18-2	yes
20	E:\Sergio-GPS\individual-runs\20220301_CIMS18-3.mzML.dia	20220301_CIMS18-3	CIMS18.3_C7	CIMS18	S	CIMS18-3	no
21	E:\Sergio-GPS\individual-runs\20220301_CIMS2-1.mzML.dia	20220301_CIMS2-1	CIMS2.1_G3	CIMS2	S	CIMS2-1	no
22	E:\Sergio-GPS\individual-runs\20220301_CIMS22-1.mzML.dia	20220301_CIMS22-1	CIMS22.1_A10	CIMS22	S	CIMS22-1	no
23	E:\Sergio-GPS\individual-runs\20220301_CIMS22-2_A7.mzML.dia	20220301_CIMS22-2_A7	CIMS22.2_A7	CIMS22	S	CIMS22-2	yes
24	E:\Sergio-GPS\individual-runs\20220301_CIMS24-3.mzML.dia	20220301_CIMS24-3	CIMS24.3_A9	CIMS24	S	CIMS24-3	no
25	E:\Sergio-GPS\individual-runs\20220301_CIMS25-1_E1.mzML.dia	20220301_CIMS25-1_E1	CIMS25.1_E1	CIMS25	S	CIMS25-1	no
26	E:\Sergio-GPS\individual-runs\20220301_CIMS25-2_F5.mzML.dia	20220301_CIMS25-2_F5	CIMS25.2_F5	CIMS25	S	CIMS25-2	yes
27	E:\Sergio-GPS\individual-runs\20220301_CIMS25-3.mzML.dia	20220301_CIMS25-3	CIMS25.3_A1	CIMS25	S	CIMS25-3	no
28	E:\Sergio-GPS\individual-runs\20220301_CIMS26-1.mzML.dia	20220301_CIMS26-1	CIMS26.1_H4	CIMS26	S	CIMS26-1	no
29	E:\Sergio-GPS\individual-runs\20220301_CIMS28-1_G10.mzML.dia	20220301_CIMS28-1_G10	CIMS28.1_G10	CIMS28	S	CIMS28-1	no
30	E:\Sergio-GPS\individual-runs\20220301_CIMS3-3.mzML.dia	20220301_CIMS3-3	CIMS3.3_C11	CIMS3	S	CIMS3-3	no
31	E:\Sergio-GPS\individual-runs\20220301_CIMS6-1.mzML.dia	20220301_CIMS6-1	CIMS6.1_C9	CIMS6	S	CIMS6-1	no
32	E:\Sergio-GPS\individual-runs\20220301_CIMS9-1.mzML.dia	20220301_CIMS9-1	CIMS9.1_E6	CIMS9	S	CIMS9-1	no
33	E:\Sergio-GPS\individual-runs\20220301_CIMS9-3.mzML.dia	20220301_CIMS9-3	CIMS9.3_B12	CIMS9	S	CIMS9-3	no
34	E:\Sergio-GPS\individual-runs\20220301_NC-3_B10.mzML.dia	20220301_NC-3_B10	NC.3_B10	NC	NC	NC-3	no
35	E:\Sergio-GPS\individual-runs\20220302_CIMS1-1.mzML.dia	20220302_CIMS1-1	CIMS1.1_D12	CIMS1	S	CIMS1-1	no
36	E:\Sergio-GPS\individual-runs\20220302_CIMS1-3.mzML.dia	20220302_CIMS1-3	CIMS1.3_E10	CIMS1	S	CIMS1-3	no
37	E:\Sergio-GPS\individual-runs\20220302_CIMS10-1.mzML.dia	20220302_CIMS10-1	CIMS10.1_A12	CIMS10	S	CIMS10-1	no
38	E:\Sergio-GPS\individual-runs\20220302_CIMS11-1.mzML.dia	20220302_CIMS11-1	CIMS11.1_D4	CIMS11	S	CIMS11-1	no
39	E:\Sergio-GPS\individual-runs\20220302_CIMS12-3.mzML.dia	20220302_CIMS12-3	CIMS12.3_F4	CIMS12	S	CIMS12-3	no
40	E:\Sergio-GPS\individual-runs\20220302_CIMS13-1.mzML.dia	20220302_CIMS13-1	CIMS13.1_A4	CIMS13	S	CIMS13-1	no
41	E:\Sergio-GPS\individual-runs\20220302_CIMS13-3.mzML.dia	20220302_CIMS13-3	CIMS13.3_E5	CIMS13	S	CIMS13-3	no
42	E:\Sergio-GPS\individual-runs\20220302_CIMS14-3.mzML.dia	20220302_CIMS14-3	CIMS14.3_C4	CIMS14	S	CIMS14-3	no
43	E:\Sergio-GPS\individual-runs\20220302_CIMS17-1.mzML.dia	20220302_CIMS17-1	CIMS17.1_B4	CIMS17	S	CIMS17-1	no
44	E:\Sergio-GPS\individual-runs\20220302_CIMS2-1.mzML.dia	20220302_CIMS2-1	CIMS2.1_A6	CIMS2	S	CIMS2-1	no
45	E:\Sergio-GPS\individual-runs\20220302_CIMS20-1.mzML.dia	20220302_CIMS20-1	CIMS20.1_H7	CIMS20	S	CIMS20-1	no
46	E:\Sergio-GPS\individual-runs\20220302_CIMS20-2_E12.mzML.dia	20220302_CIMS20-2_E12	CIMS20.2_E12	CIMS20	S	CIMS20-2	yes
47	E:\Sergio-GPS\individual-runs\20220302_CIMS21-1.mzML.dia	20220302_CIMS21-1	CIMS21.1_C8	CIMS21	S	CIMS21-1	no
48	E:\Sergio-GPS\individual-runs\20220302_CIMS23-1.mzML.dia	20220302_CIMS23-1	CIMS23.1_B2	CIMS23	S	CIMS23-1	no
49	E:\Sergio-GPS\individual-runs\20220302_CIMS24-1.mzML.dia	20220302_CIMS24-1	CIMS24.1_E2	CIMS24	S	CIMS24-1	no
50	E:\Sergio-GPS\individual-runs\20220302_CIMS26-1.mzML.dia	20220302_CIMS26-1	CIMS26.1_D2	CIMS26	S	CIMS26-1	no
51	E:\Sergio-GPS\individual-runs\20220302_CIMS28-3.mzML.dia	20220302_CIMS28-3	CIMS28.3_H3	CIMS28	S	CIMS28-3	no
52	E:\Sergio-GPS\individual-runs\20220302_CIMS4-3.mzML.dia	20220302_CIMS4-3	CIMS4.3_F10	CIMS4	S	CIMS4-3	no
53	E:\Sergio-GPS\individual-runs\20220302_CIMS7-1.mzML.dia	20220302_CIMS7-1	CIMS7.1_H5	CIMS7	S	CIMS7-1	no
54	E:\Sergio-GPS\individual-runs\20220302_CIMS8-3.mzML.dia	20220302_CIMS8-3	CIMS8.3_B6	CIMS8	S	CIMS8-3	no
55	E:\Sergio-GPS\individual-runs\20220302_NC-1.mzML.dia	20220302_NC-1	NC.1_G2	NC	NC	NC-1	no
