raw_path	file_name	group	type	sample_id
E:\Sergio-GPS\combined+individual\20220228_CIMS11-1.mzML.dia	20220228_CIMS11-1	cims11	S	CIMS11-1
E:\Sergio-GPS\combined+individual\20220301_CIMS11-3.mzML.dia	20220301_CIMS11-3	cims11	S	CIMS11-3
E:\Sergio-GPS\combined+individual\20220302_CIMS11-1.mzML.dia	20220302_CIMS11-1	cims11	S	CIMS11-2
E:\Sergio-GPS\combined+individual\20220228_CIMS12-1.mzML.dia	20220228_CIMS12-1	cims12	S	CIMS12-1
E:\Sergio-GPS\combined+individual\20220301_CIMS12-1.mzML.dia	20220301_CIMS12-1	cims12	S	CIMS12-2
E:\Sergio-GPS\combined+individual\20220302_CIMS12-3.mzML.dia	20220302_CIMS12-3	cims12	S	CIMS12-3
E:\Sergio-GPS\combined+individual\20220301_CIMS13-1_B5.mzML.dia	20220301_CIMS13-1_B5	cims13	S	CIMS13-1
E:\Sergio-GPS\combined+individual\20220302_CIMS13-1.mzML.dia	20220302_CIMS13-1	cims13	S	CIMS13-2
E:\Sergio-GPS\combined+individual\20220302_CIMS13-3.mzML.dia	20220302_CIMS13-3	cims13	S	CIMS13-3
E:\Sergio-GPS\combined+individual\20220301_CIMS14-1_E9.mzML.dia	20220301_CIMS14-1_E9	cims14	S	CIMS14-1
E:\Sergio-GPS\combined+individual\20220302_CIMS14-3.mzML.dia	20220302_CIMS14-3	cims14	S	CIMS14-3
E:\Sergio-GPS\combined+individual\20220303_CIMS14-1.mzML.dia	20220303_CIMS14-1	cims14	S	CIMS14-2
E:\Sergio-GPS\combined+individual\20220228_CIMS16-1.mzML.dia	20220228_CIMS16-1	cims16	S	CIMS16-1
E:\Sergio-GPS\combined+individual\20220303_CIMS16-1.mzML.dia	20220303_CIMS16-1	cims16	S	CIMS16-2
E:\Sergio-GPS\combined+individual\20220303_CIMS16-3.mzML.dia	20220303_CIMS16-3	cims16	S	CIMS16-3
E:\Sergio-GPS\combined+individual\20220301_CIMS25-1_E1.mzML.dia	20220301_CIMS25-1_E1	cims25	S	CIMS25-1
E:\Sergio-GPS\combined+individual\20220301_CIMS25-2_F5.mzML.dia	20220301_CIMS25-2_F5	cims25	S	CIMS25-2
E:\Sergio-GPS\combined+individual\20220301_CIMS25-3.mzML.dia	20220301_CIMS25-3	cims25	S	CIMS25-3
E:\Sergio-GPS\combined+individual\20220228_CIMS28-1.mzML.dia	20220228_CIMS28-1	cims28	S	CIMS28-1
E:\Sergio-GPS\combined+individual\20220301_CIMS28-1_G10.mzML.dia	20220301_CIMS28-1_G10	cims28	S	CIMS28-2
E:\Sergio-GPS\combined+individual\20220301_CIMS28-1-ERROR.mzML.dia	220301_CIMS28-1-ERROR	cims28	S	CIMS28-error
E:\Sergio-GPS\combined+individual\20220302_CIMS28-3.mzML.dia	20220302_CIMS28-3	cims28	S	CIMS28-3
E:\Sergio-GPS\combined+individual\20220303_CIMS5-1.mzML.dia	20220303_CIMS5-1	cims5	S	CIMS5-1
E:\Sergio-GPS\combined+individual\20220303_CIMS5-2_D6.mzML.dia	20220303_CIMS5-2_D6	cims5	S	CIMS5-2
E:\Sergio-GPS\combined+individual\20220303_CIMS5-3.mzML.dia	20220303_CIMS5-3	cims5	S	CIMS5-3
E:\Sergio-GPS\combined+individual\20220228_CIMS8-1.mzML.dia	20220228_CIMS8-1	cims8	S	CIMS8-1
E:\Sergio-GPS\combined+individual\20220302_CIMS8-3.mzML.dia	20220302_CIMS8-3	cims8	S	CIMS8-3
E:\Sergio-GPS\combined+individual\20220303_CIMS8-1.mzML.dia	20220303_CIMS8-1	cims8	S	CIMS8-2
E:\Sergio-GPS\combined+individual\20220301_CIMS9-1.mzML.dia	20220301_CIMS9-1	cims9	S	CIMS9-1
E:\Sergio-GPS\combined+individual\20220301_CIMS9-3.mzML.dia	20220301_CIMS9-3	cims9	S	CIMS9-3
E:\Sergio-GPS\combined+individual\20220825_GPS_mix_1-1.mzML.dia	20220825_GPS_mix_1-1	mix1	S	mix_1-1
E:\Sergio-GPS\combined+individual\20220825_GPS_mix_1-2.mzML.dia	20220825_GPS_mix_1-2	mix1	S	mix_1-2
E:\Sergio-GPS\combined+individual\20220825_GPS_mix_1-3.mzML.dia	20220825_GPS_mix_1-3	mix1	S	mix_1-3
